iter	Passed	Remaining
0	145	144883
1	145	72789
2	146	48767
3	147	36794
4	149	29660
5	150	24874
6	151	21421
7	151	18840
8	152	16823
9	153	15202
10	154	13885
11	155	12779
12	155	11843
13	156	11046
14	157	10370
15	158	9763
16	159	9226
17	160	8747
18	161	8320
19	161	7937
20	162	7594
21	163	7282
22	164	6998
23	165	6732
24	166	6492
25	167	6289
26	168	6081
27	169	5889
28	170	5717
29	171	5550
30	172	5391
31	173	5242
32	174	5104
33	175	4972
34	175	4849
35	176	4733
36	178	4645
37	179	4542
38	180	4444
39	181	4354
40	182	4264
41	183	4178
42	184	4095
43	184	4018
44	185	3941
45	186	3869
46	187	3799
47	188	3747
48	189	3683
49	190	3623
50	191	3564
51	192	3508
52	193	3454
53	194	3401
54	194	3349
55	195	3299
56	196	3251
57	197	3204
58	198	3168
59	199	3125
60	200	3082
61	201	3041
62	202	3004
63	202	2966
64	203	2928
65	204	2891
66	205	2855
67	205	2821
68	206	2788
69	207	2755
70	208	2728
71	209	2702
72	210	2673
73	211	2645
74	212	2617
75	213	2590
76	213	2563
77	214	2536
78	215	2510
79	216	2485
80	217	2462
81	217	2438
82	218	2411
83	219	2391
84	220	2372
85	221	2353
86	222	2335
87	223	2315
88	224	2296
89	225	2276
90	226	2258
91	226	2239
92	227	2223
93	228	2205
94	230	2194
95	231	2179
96	232	2162
97	233	2146
98	233	2129
99	234	2113
100	235	2097
101	236	2082
102	237	2066
103	238	2051
104	238	2036
105	239	2021
106	240	2010
107	241	1996
108	242	1983
109	243	1969
110	244	1956
111	245	1943
112	245	1930
113	246	1917
114	247	1905
115	248	1893
116	249	1881
117	250	1868
118	251	1859
119	252	1849
120	253	1838
121	253	1826
122	254	1815
123	255	1804
124	256	1794
125	257	1784
126	257	1772
127	258	1762
128	259	1753
129	260	1744
130	263	1745
131	264	1738
132	265	1729
133	266	1719
134	266	1710
135	267	1701
136	268	1693
137	269	1684
138	271	1678
139	272	1670
140	273	1666
141	274	1656
142	275	1649
143	276	1640
144	276	1632
145	277	1624
146	278	1616
147	279	1608
148	280	1600
149	281	1593
150	281	1584
151	282	1577
152	284	1574
153	285	1567
154	286	1560
155	287	1553
156	287	1545
157	288	1538
158	289	1530
159	290	1524
160	291	1516
161	291	1509
162	292	1502
163	293	1495
164	294	1491
165	295	1485
166	296	1478
167	297	1471
168	297	1465
169	298	1458
170	299	1451
171	300	1445
172	301	1439
173	301	1433
174	302	1427
175	303	1421
176	304	1415
177	305	1410
178	306	1404
179	307	1398
180	307	1393
181	308	1387
