iter	Passed	Remaining
0	0	96
1	2	98
2	2	96
3	3	87
4	4	86
5	5	84
6	6	82
7	7	83
8	8	81
9	8	79
10	9	78
11	10	77
12	11	76
13	12	76
14	13	76
15	14	75
16	15	75
17	16	74
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	67
26	24	67
27	25	66
28	26	65
29	27	63
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	34	57
37	35	57
38	36	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	42
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	70	21
77	71	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	94	0
99	95	0
